"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2020","28,951.0","29,184.5","29,184.5","28,017.1","528.10K","0.68%"
"07/31/2020","28,523.0","28,017.1","28,989.9","28,017.1","603.60K","-1.48%"
"08/03/2020","28,951.0","28,250.6","29,067.7","28,250.6","813.30K","1.50%"
"08/04/2020","29,495.8","29,573.6","29,573.6","29,184.5","621.30K","1.88%"
"08/05/2020","30,157.3","29,418.0","30,351.9","29,262.3","1.15M","2.24%"
"08/06/2020","29,768.2","30,079.5","30,274.0","29,729.3","751.20K","-1.29%"
"08/07/2020","29,651.4","29,768.2","30,040.6","29,534.7","669.20K","-0.39%"
"08/10/2020","29,651.4","29,923.8","30,118.4","29,651.4","672.60K","0.00%"
"08/11/2020","29,962.7","29,846.0","30,040.6","29,651.4","982.00K","1.05%"
"08/12/2020","30,507.5","30,040.6","30,624.3","30,040.6","1.21M","1.82%"
"08/13/2020","30,857.7","30,741.0","30,896.6","30,585.3","847.00K","1.15%"
"08/14/2020","30,351.9","30,624.3","30,818.8","30,196.2","1.24M","-1.64%"
"08/17/2020","30,118.4","30,274.0","30,351.9","29,923.8","793.60K","-0.77%"
"08/18/2020","29,884.9","30,351.9","30,351.9","29,884.9","834.20K","-0.78%"
"08/19/2020","30,040.6","29,884.9","30,235.1","29,884.9","435.60K","0.52%"
"08/20/2020","29,768.2","30,040.6","30,235.1","29,768.2","1.08M","-0.91%"
"08/21/2020","30,313.0","29,884.9","30,546.4","29,884.9","1.38M","1.83%"
"08/24/2020","30,857.7","30,741.0","31,052.3","30,507.5","1.18M","1.80%"
"08/25/2020","30,741.0","31,052.3","31,130.1","30,663.2","1.12M","-0.38%"
"08/26/2020","30,624.3","30,741.0","30,741.0","30,585.3","1.05M","-0.38%"
"08/27/2020","30,429.7","30,585.3","30,663.2","30,351.9","1.38M","-0.64%"
"08/28/2020","31,558.2","30,741.0","31,908.4","30,585.3","3.81M","3.71%"
"08/31/2020","31,869.5","31,597.1","32,141.8","31,558.2","2.52M","0.99%"
"09/01/2020","32,219.7","31,519.2","32,219.7","31,441.4","2.67M","1.10%"
"09/03/2020","32,842.3","32,297.5","32,842.3","32,064.0","3.35M","1.93%"
"09/04/2020","32,764.4","32,141.8","32,920.1","32,102.9","2.52M","-0.24%"
"09/07/2020","31,597.1","32,842.3","32,842.3","31,597.1","2.83M","-3.56%"
"09/08/2020","31,791.6","31,752.7","31,908.4","31,169.0","1.59M","0.62%"
"09/09/2020","31,752.7","31,285.8","31,869.5","31,207.9","1.01M","-0.12%"
"09/10/2020","31,519.2","31,986.2","32,025.1","31,519.2","1.07M","-0.74%"
"09/11/2020","31,480.3","31,519.2","31,636.0","31,324.7","972.50K","-0.12%"
"09/14/2020","31,519.2","31,558.2","31,752.7","31,480.3","1.17M","0.12%"
"09/15/2020","31,713.8","31,674.9","32,064.0","31,441.4","1.40M","0.62%"
"09/16/2020","31,558.2","31,830.5","31,830.5","31,480.3","687.10K","-0.49%"
"09/17/2020","31,519.2","31,674.9","31,986.2","31,363.6","1.91M","-0.12%"
"09/18/2020","31,908.4","31,597.1","31,908.4","31,519.2","1.76M","1.23%"
"09/21/2020","31,752.7","32,064.0","32,297.5","31,674.9","1.27M","-0.49%"
"09/22/2020","31,674.9","31,674.9","31,830.5","31,480.3","1.46M","-0.25%"
"09/23/2020","32,219.7","31,752.7","32,608.8","31,752.7","2.65M","1.72%"
